Emote,Platform,Format,ID,URL
ppParty,7tv,webp,609ef45c4c18609a1d9a6cbe,https://7tv.app/emotes/609ef45c4c18609a1d9a6cbe
BandOfApuApustajas,7tv,webp,60ae7b00c4b981d367cd0123,https://7tv.app/emotes/60ae7b00c4b981d367cd0123
SoLongGayBowser,7tv,webp,60caf39c3591d98c4059c5c0,https://7tv.app/emotes/60caf39c3591d98c4059c5c0
PeepoWeen,7tv,webp,60d2cb1bc110a67b0f2ca320,https://7tv.app/emotes/60d2cb1bc110a67b0f2ca320
peeposRioting,7tv,webp,610996a8c722085b766d9019,https://7tv.app/emotes/610996a8c722085b766d9019
Hmm,7tv,webp,610c3807d53540d5aad109bd,https://7tv.app/emotes/610c3807d53540d5aad109bd
0Love,7tv,webp,6116a00a47935f36575c7bbb,https://7tv.app/emotes/6116a00a47935f36575c7bbb
BONK,7tv,webp,612a3322fef79a90b279b21c,https://7tv.app/emotes/612a3322fef79a90b279b21c
TakingNotes,7tv,webp,6133b422d6b0df560a6525b2,https://7tv.app/emotes/6133b422d6b0df560a6525b2
peepoCandy,7tv,webp,613815af63563bcbab5ac34b,https://7tv.app/emotes/613815af63563bcbab5ac34b
hackingCD,7tv,webp,613816878f5717865c7c5b95,https://7tv.app/emotes/613816878f5717865c7c5b95
vp,7tv,webp,6139b13bf7977b64f644cbe2,https://7tv.app/emotes/6139b13bf7977b64f644cbe2
esfandShowingYou,7tv,webp,613cc1d33f2fa247f2ed481d,https://7tv.app/emotes/613cc1d33f2fa247f2ed481d
notL,7tv,webp,614b45b720eaf8974659f2c1,https://7tv.app/emotes/614b45b720eaf8974659f2c1
Weenies,7tv,webp,614f7b5043b2d9da0d3273a5,https://7tv.app/emotes/614f7b5043b2d9da0d3273a5
WeirdDude,7tv,webp,615009bb6251d7e000daa354,https://7tv.app/emotes/615009bb6251d7e000daa354
pepeCD,7tv,webp,6151f1086251d7e000dad0d3,https://7tv.app/emotes/6151f1086251d7e000dad0d3
GIGACHAD,7tv,webp,615216f46251d7e000dad559,https://7tv.app/emotes/615216f46251d7e000dad559
widepeepoHappy,7tv,webp,6155850f43b2d9da0d330d5b,https://7tv.app/emotes/6155850f43b2d9da0d330d5b
widepeepoSad,7tv,webp,61561aaf43b2d9da0d331d99,https://7tv.app/emotes/61561aaf43b2d9da0d331d99
esfandHammer,7tv,webp,615636736251d7e000db35ec,https://7tv.app/emotes/615636736251d7e000db35ec
Bedge,7tv,webp,615766a6b785e05aa26c0d08,https://7tv.app/emotes/615766a6b785e05aa26c0d08
Wokege,7tv,webp,615766c2b785e05aa26c0d0d,https://7tv.app/emotes/615766c2b785e05aa26c0d0d
ZULUL,7tv,webp,61577259dc267a3441813314,https://7tv.app/emotes/61577259dc267a3441813314
modCheck,7tv,webp,6159d94993686fbfe7fc1871,https://7tv.app/emotes/6159d94993686fbfe7fc1871
PepoPopcorn,7tv,webp,6159e80793686fbfe7fc19a4,https://7tv.app/emotes/6159e80793686fbfe7fc19a4
peepoJuiceSpin,7tv,webp,615aa8c4d272bdadf849e93b,https://7tv.app/emotes/615aa8c4d272bdadf849e93b
ManFeels,7tv,webp,615b5fdf7479e3ea0f0b0dbc,https://7tv.app/emotes/615b5fdf7479e3ea0f0b0dbc
esfandShowingYou,7tv,webp,615d4919e2ae906afc2ebf13,https://7tv.app/emotes/615d4919e2ae906afc2ebf13
GoodMorning,7tv,webp,61604910b8efaca64b960311,https://7tv.app/emotes/61604910b8efaca64b960311
peepoChef,7tv,webp,6161e9dcc1ff9a17cc394c12,https://7tv.app/emotes/6161e9dcc1ff9a17cc394c12
gachiESFAND,bttv,gif,5b25a3a85ea9d964f40020e0,https://betterttv.com/emotes/5b25a3a85ea9d964f40020e0
esfandPecs,bttv,gif,5b2f2fefcc658744b652d217,https://betterttv.com/emotes/5b2f2fefcc658744b652d217
KKANELE,bttv,png,5b32f97fbe275b629fc712cc,https://betterttv.com/emotes/5b32f97fbe275b629fc712cc
RareEsfand,bttv,gif,5b6fc8c86becde581e1ae1b0,https://betterttv.com/emotes/5b6fc8c86becde581e1ae1b0
esfandFlick,bttv,gif,5c2f0238b94fee461dd27dab,https://betterttv.com/emotes/5c2f0238b94fee461dd27dab
esfandBless,bttv,png,5c3b3570fb40bc09d7c6e123,https://betterttv.com/emotes/5c3b3570fb40bc09d7c6e123
FeelsLateMan,bttv,gif,5f986cef40eb9502e2231e1c,https://betterttv.com/emotes/5f986cef40eb9502e2231e1c
esfandRun,bttv,gif,5f99ccb6710f8302f0c96225,https://betterttv.com/emotes/5f99ccb6710f8302f0c96225
esfandArrive,bttv,gif,5f99ce556f583802e389f5f2,https://betterttv.com/emotes/5f99ce556f583802e389f5f2
pepeJAM,bttv,gif,5f99cedc58e96102e92a2c2e,https://betterttv.com/emotes/5f99cedc58e96102e92a2c2e
PETTHEESFAND,bttv,gif,5f99d0d86f583802e389f626,https://betterttv.com/emotes/5f99d0d86f583802e389f626
esfandThirst,bttv,gif,5f99d6d3710f8302f0c96316,https://betterttv.com/emotes/5f99d6d3710f8302f0c96316
DonoWall,bttv,gif,5f99e30d6f583802e389f7b8,https://betterttv.com/emotes/5f99e30d6f583802e389f7b8
esfandFlip,bttv,gif,5f9b383540eb9502e2234d56,https://betterttv.com/emotes/5f9b383540eb9502e2234d56
esfandSmash,bttv,gif,5fa01b3740eb9502e22399bb,https://betterttv.com/emotes/5fa01b3740eb9502e22399bb
docPls,bttv,gif,5fbbfd2cf096f76f0d1c36a8,https://betterttv.com/emotes/5fbbfd2cf096f76f0d1c36a8
coffinPls,bttv,gif,5fc572f5e22688461fed5627,https://betterttv.com/emotes/5fc572f5e22688461fed5627
Modge,bttv,gif,5fc966118c4e2c46195ce0be,https://betterttv.com/emotes/5fc966118c4e2c46195ce0be
TriSad,bttv,gif,5fcdc91d8c4e2c46195d3525,https://betterttv.com/emotes/5fcdc91d8c4e2c46195d3525
pepeY,bttv,gif,5fd2f9f322274a347e6afb5b,https://betterttv.com/emotes/5fd2f9f322274a347e6afb5b
peepoHawOnAGoose,bttv,gif,5fdaf12ca02cf1347ff9c6b7,https://betterttv.com/emotes/5fdaf12ca02cf1347ff9c6b7
PogO,bttv,png,5ff8c188b86fa10c65d83592,https://betterttv.com/emotes/5ff8c188b86fa10c65d83592
CreepyChamp,bttv,png,5ff8c43e5ef7d10c7912cf02,https://betterttv.com/emotes/5ff8c43e5ef7d10c7912cf02
PopLock,bttv,gif,5ffd66da465444316bf608ab,https://betterttv.com/emotes/5ffd66da465444316bf608ab
WhatChamp,bttv,png,60047e73c96152314ad6a4c6,https://betterttv.com/emotes/60047e73c96152314ad6a4c6
TriHuggo,bttv,gif,60061a2782cf6865d5526163,https://betterttv.com/emotes/60061a2782cf6865d5526163
Pause,bttv,png,6019cb5282cf6865d553b0d3,https://betterttv.com/emotes/6019cb5282cf6865d553b0d3
OkayChamp,bttv,png,60328f8b7c74605395f31b9a,https://betterttv.com/emotes/60328f8b7c74605395f31b9a
peepoEvil,bttv,gif,603aab1d7c74605395f357c2,https://betterttv.com/emotes/603aab1d7c74605395f357c2
TriKool,bttv,gif,603aad3b7c74605395f357d7,https://betterttv.com/emotes/603aad3b7c74605395f357d7
peepoPooPoo,bttv,gif,603aae057c74605395f357dc,https://betterttv.com/emotes/603aae057c74605395f357dc
pepeMeltdown,bttv,gif,603ab16d7c74605395f357fe,https://betterttv.com/emotes/603ab16d7c74605395f357fe
pepeSmoke,bttv,gif,603ab2617c74605395f35806,https://betterttv.com/emotes/603ab2617c74605395f35806
PepoPopcorn,bttv,gif,603ab3907c74605395f35815,https://betterttv.com/emotes/603ab3907c74605395f35815
peepoJuiceSpin,bttv,gif,603ab44d7c74605395f3581d,https://betterttv.com/emotes/603ab44d7c74605395f3581d
COGGERS,bttv,gif,603ab5387c74605395f35825,https://betterttv.com/emotes/603ab5387c74605395f35825
peepoS,bttv,gif,603ab5e57c74605395f35828,https://betterttv.com/emotes/603ab5e57c74605395f35828
headBang,bttv,gif,603ab6807c74605395f3582d,https://betterttv.com/emotes/603ab6807c74605395f3582d
DANKIES,bttv,gif,603ab7207c74605395f35834,https://betterttv.com/emotes/603ab7207c74605395f35834
peepoFlute,bttv,gif,603ab8c47c74605395f35842,https://betterttv.com/emotes/603ab8c47c74605395f35842
pepeCD,bttv,gif,603ab95d7c74605395f35849,https://betterttv.com/emotes/603ab95d7c74605395f35849
peepoClap,bttv,gif,603abbdc7c74605395f3586b,https://betterttv.com/emotes/603abbdc7c74605395f3586b
MmmHmm,bttv,gif,603abc3c7c74605395f3586e,https://betterttv.com/emotes/603abc3c7c74605395f3586e
pepeBASS,bttv,gif,603abe567c74605395f35889,https://betterttv.com/emotes/603abe567c74605395f35889
peepoLegs,bttv,gif,603ac5837c74605395f358dd,https://betterttv.com/emotes/603ac5837c74605395f358dd
modCheck,bttv,gif,603ac7927c74605395f358f5,https://betterttv.com/emotes/603ac7927c74605395f358f5
PepegaAim,bttv,gif,603ac95e7c74605395f35904,https://betterttv.com/emotes/603ac95e7c74605395f35904
TriDance,bttv,gif,603bc1817c74605395f35ea3,https://betterttv.com/emotes/603bc1817c74605395f35ea3
BOOBA,bttv,gif,603c903b306b602acc594ded,https://betterttv.com/emotes/603c903b306b602acc594ded
monkaSTEER,bttv,gif,603cca5b306b602acc594ee9,https://betterttv.com/emotes/603cca5b306b602acc594ee9
esfandLeave,bttv,gif,603cccaf306b602acc594efe,https://betterttv.com/emotes/603cccaf306b602acc594efe
SPEEDRUN,bttv,gif,603d5a66306b602acc5953b6,https://betterttv.com/emotes/603d5a66306b602acc5953b6
Pain,bttv,png,603f612a306b602acc596226,https://betterttv.com/emotes/603f612a306b602acc596226
esfandMods,bttv,png,603fcd96306b602acc59651e,https://betterttv.com/emotes/603fcd96306b602acc59651e
BATHROOMBREAK,bttv,gif,6040d028306b602acc596c5b,https://betterttv.com/emotes/6040d028306b602acc596c5b
esfandMount,bttv,gif,604104b7306b602acc596df6,https://betterttv.com/emotes/604104b7306b602acc596df6
lulWut,bttv,gif,60453dd1306b602acc598ae1,https://betterttv.com/emotes/60453dd1306b602acc598ae1
KKornwood,bttv,png,604780ed306b602acc599ae9,https://betterttv.com/emotes/604780ed306b602acc599ae9
Sleepfand,bttv,gif,604dbfc0306b602acc59ca10,https://betterttv.com/emotes/604dbfc0306b602acc59ca10
DinkDonk,bttv,gif,6050fbc9306b602acc59e21d,https://betterttv.com/emotes/6050fbc9306b602acc59e21d
RantBait,bttv,gif,60538bce306b602acc59f540,https://betterttv.com/emotes/60538bce306b602acc59f540
PepeS,bttv,gif,607b5e2039b5010444d014a9,https://betterttv.com/emotes/607b5e2039b5010444d014a9
FuelTime,bttv,gif,607f38b739b5010444d030f5,https://betterttv.com/emotes/607f38b739b5010444d030f5
AlienPls,bttv,gif,608c66b339b5010444d094cf,https://betterttv.com/emotes/608c66b339b5010444d094cf
WEEBFAND,bttv,gif,608c66e639b5010444d094d4,https://betterttv.com/emotes/608c66e639b5010444d094d4
esfandPls,bttv,gif,608c676839b5010444d094dc,https://betterttv.com/emotes/608c676839b5010444d094dc
WICKED,bttv,gif,608c699d39b5010444d094ef,https://betterttv.com/emotes/608c699d39b5010444d094ef
docTasty,bttv,gif,6092ed8839b5010444d0c36d,https://betterttv.com/emotes/6092ed8839b5010444d0c36d
Cheese,bttv,gif,60b5121ff8b3f62601c363a2,https://betterttv.com/emotes/60b5121ff8b3f62601c363a2
OMEGABOUNCE,bttv,gif,60b93bb6f8b3f62601c380e6,https://betterttv.com/emotes/60b93bb6f8b3f62601c380e6
Chatting,bttv,gif,60bf2d0ef8b3f62601c3a941,https://betterttv.com/emotes/60bf2d0ef8b3f62601c3a941
DESKFAND,bttv,gif,60c30f6bf8b3f62601c3c216,https://betterttv.com/emotes/60c30f6bf8b3f62601c3c216
esfandHammer,bttv,gif,60c3134df8b3f62601c3c221,https://betterttv.com/emotes/60c3134df8b3f62601c3c221
GoodNight,bttv,png,60cbaef8f8b3f62601c3f5ec,https://betterttv.com/emotes/60cbaef8f8b3f62601c3f5ec
TOOBASED,bttv,png,60d211128ed8b373e4217d8b,https://betterttv.com/emotes/60d211128ed8b373e4217d8b
Binoculars,bttv,png,60f1c9388ed8b373e422363a,https://betterttv.com/emotes/60f1c9388ed8b373e422363a
Thinkge,bttv,gif,60f2aeae8ed8b373e4223b47,https://betterttv.com/emotes/60f2aeae8ed8b373e4223b47
esfandExplaining,bttv,gif,60ff190b2d1eba5400d1b4b6,https://betterttv.com/emotes/60ff190b2d1eba5400d1b4b6
AYAYA,bttv,png,60ff1ece2d1eba5400d1b5c1,https://betterttv.com/emotes/60ff1ece2d1eba5400d1b5c1
peepoWave,bttv,gif,610f7d9e76ea4e2b9f760126,https://betterttv.com/emotes/610f7d9e76ea4e2b9f760126
peepoGiggles,bttv,gif,61549e13b63cc97ee6d3eda7,https://betterttv.com/emotes/61549e13b63cc97ee6d3eda7
Sadge,bttv,png,6154a053b63cc97ee6d3ee50,https://betterttv.com/emotes/6154a053b63cc97ee6d3ee50
pepePoint,bttv,png,6154a0c6b63cc97ee6d3ee76,https://betterttv.com/emotes/6154a0c6b63cc97ee6d3ee76
PauseChamp,bttv,png,6154a1a0b63cc97ee6d3ee9d,https://betterttv.com/emotes/6154a1a0b63cc97ee6d3ee9d
peepoShy,bttv,gif,6154a215b63cc97ee6d3eec1,https://betterttv.com/emotes/6154a215b63cc97ee6d3eec1
NOIDONTTHINKSO,bttv,gif,6154dc07b63cc97ee6d3f94a,https://betterttv.com/emotes/6154dc07b63cc97ee6d3f94a
WeirdChamp,bttv,png,61557e31b63cc97ee6d40acb,https://betterttv.com/emotes/61557e31b63cc97ee6d40acb
PogU,bttv,png,61557ea5b63cc97ee6d40ade,https://betterttv.com/emotes/61557ea5b63cc97ee6d40ade
Okayge,bttv,png,6156dd95b63cc97ee6d43933,https://betterttv.com/emotes/6156dd95b63cc97ee6d43933
PepePls,bttv,gif,61581011b63cc97ee6d468f2,https://betterttv.com/emotes/61581011b63cc97ee6d468f2
PepegaPls,bttv,gif,6159d554b63cc97ee6d4a079,https://betterttv.com/emotes/6159d554b63cc97ee6d4a079
COPEFAND,bttv,png,6161c26ab63cc97ee6d5847c,https://betterttv.com/emotes/6161c26ab63cc97ee6d5847c
PepoCheer,bttv,gif,616202e0b63cc97ee6d58e01,https://betterttv.com/emotes/616202e0b63cc97ee6d58e01
pepeD,bttv,gif,61620325b63cc97ee6d58e0e,https://betterttv.com/emotes/61620325b63cc97ee6d58e0e
SmallEsfando,bttv,png,616203ccb63cc97ee6d58e1c,https://betterttv.com/emotes/616203ccb63cc97ee6d58e1c
KKool,bttv-shared,gif,56c2cff2d9ec6bf744247bf1,https://betterttv.com/emotes/56c2cff2d9ec6bf744247bf1
HYPERCLAP,bttv-shared,gif,5b35ca08392c604c5fd81874,https://betterttv.com/emotes/5b35ca08392c604c5fd81874
EZ,bttv-shared,png,5590b223b344e2c42a9e28e3,https://betterttv.com/emotes/5590b223b344e2c42a9e28e3
Dance,bttv-shared,gif,5aa1d0e311237146531078b0,https://betterttv.com/emotes/5aa1d0e311237146531078b0
asmonSmash,bttv-shared,gif,5b5cde18ee41fa48d4899cd5,https://betterttv.com/emotes/5b5cde18ee41fa48d4899cd5
asmonPls,bttv-shared,gif,5b64ad3e4e709e4defe2a9de,https://betterttv.com/emotes/5b64ad3e4e709e4defe2a9de
